day,clue,answer,length,date
5,"Try to get in, say",APPLY,5,2019-06-01
5,"""Suh-weet!,"" quaintly",NEATO,5,2019-06-01
5,Do business?,SALON,5,2019-06-01
5,Proctor's declaration,TIME,4,2019-06-01
5,"Septet in Dante's ""Purgatorio""",SINS,4,2019-06-01
5,"Lose crispness, in dialect",SOG,3,2019-06-01
6,Up in the air,ALOFT,5,2019-06-02
6,Memo abbr.,ATTN,4,2019-06-02
6,How many network sitcoms are rated,TVPG,4,2019-06-02
6,Floats,WAFTS,5,2019-06-02
6,World capital once behind the Iron Curtain,SOFIA,5,2019-06-02
6,Bubble tea flavor,TARO,4,2019-06-02
6,One who might get a parade,HERO,4,2019-06-02
6,Singer Goulding,ELLIE,5,2019-06-02
6,Stoner movies?,PUFFPIECES,10,2019-06-02
6,Fired,AXED,4,2019-06-02
6,Pioneer who lent his name to six U.S. counties,BOONE,5,2019-06-02
6,Île de la ___,CITE,4,2019-06-02
6,At some point,LATERON,7,2019-06-02
6,Components of stoner movies?,POTSHOTS,8,2019-06-02
6,Flooring wood,ASH,3,2019-06-02
6,Furniture wood,ELM,3,2019-06-02
6,Rubberneck,GAWK,4,2019-06-02
6,Certain Franciscan,FRIAR,5,2019-06-02
6,Salsa variety,VERDE,5,2019-06-02
6,Chief Ouray and others,UTES,4,2019-06-02
6,Came down to earth,ALIT,4,2019-06-02
6,Farrow with a Golden Globe,MIA,3,2019-06-02
6,Tension in a stoner movie?,HIGHDRAMA,9,2019-06-02
6,Stoner movie that flops at the box office?,SMOKEBOMB,9,2019-06-02
6,Youngest Jetson,ELROY,5,2019-06-02
6,Wheat ___,GERM,4,2019-06-02
6,"""___ a dream ...""",IHAVE,5,2019-06-02
6,Rock's Brickell,EDIE,4,2019-06-02
6,Ancient Greek land that hosted the Olympics,ELIS,4,2019-06-02
6,"___ Calrissian, ""Star Wars"" role",LANDO,5,2019-06-02
6,Game's end,MATE,4,2019-06-02
6,Blood flow aid,STENT,5,2019-06-02
6,"Set a good example, perhaps",LED,3,2019-06-02
6,Half of doce,SEIS,4,2019-06-02
6,"Having two beats per measure, in music",DUPLE,5,2019-06-02
6,Gives what for,SCOLDS,6,2019-06-02
6,Ending of a stoner movie?,JOINTRESOLUTION,15,2019-06-02
6,Honeydew relative,CASABA,6,2019-06-02
6,Smooths,EASES,5,2019-06-02
6,Peewee,RUNT,4,2019-06-02
6,The Horned Frogs of the Big 12 Conf.,TCU,3,2019-06-02
6,Animal wearing red pajamas in a children's book,LLAMA,5,2019-06-02
6,"Make a jumper, say",KNIT,4,2019-06-02
6,Broadcasts,EMITS,5,2019-06-02
6,Piece on a1,ROOK,4,2019-06-02
6,Inter ___,ALIA,4,2019-06-02
6,Singer Chesney,KENNY,5,2019-06-02
6,"Two tablets, maybe",DOSE,4,2019-06-02
6,"Dog, for some",GUIDE,5,2019-06-02
6,"With 84-Across, like an audience during a stoner movie?",ROLLINGIN,9,2019-06-02
6,See 82-Across,THEAISLES,9,2019-06-02
6,After-hours convenience,ATM,3,2019-06-02
6,___ track (attack song),DISS,4,2019-06-02
6,Style to pick?,AFRO,4,2019-06-02
6,Splits lickety-split,FLEES,5,2019-06-02
6,Top-tier,ALIST,5,2019-06-02
6,Bottom-heavy fruit,PEAR,4,2019-06-02
6,Part of V.S.O.P.,OLD,3,2019-06-02
6,"Initials hidden in ""jetway,"" appropriately",TWA,3,2019-06-02
6,Bad actor in a stoner movie?,BAKEDHAM,8,2019-06-02
6,Certain Mexican-American,CHICANA,7,2019-06-02
6,Lit ___,CRIT,4,2019-06-02
6,Like ornithologists' studies,AVIAN,5,2019-06-02
6,"TV host with the autobiography ""Born a Crime""",NOAH,4,2019-06-02
6,Be behind the camera for a blockbuster stoner movie?,DIRECTHITS,10,2019-06-02
6,"Very, in slang",MONDO,5,2019-06-02
6,Hella cool,DOPE,4,2019-06-02
6,James in both the Blues and Rock and Roll Halls of Fame,ETTA,4,2019-06-02
6,Certain godchild,NIECE,5,2019-06-02
6,Midlife crisis feeling,ANGST,5,2019-06-02
6,Big acronym in education,STEM,4,2019-06-02
6,"No longer gray, say",DYED,4,2019-06-02
6,"Woman's nickname that elides ""Na""",TASHA,5,2019-06-02
6,Adoption org.,ASPCA,5,2019-06-02
6,Site of an annual May race,LOUISVILLE,10,2019-06-02
6,"Unfindable, so to speak",OFFTHEGRID,10,2019-06-02
6,Piccolo relative,FIFE,4,2019-06-02
6,Dance specialty,TAP,3,2019-06-02
6,Squad bringing more than their B game?,ATEAM,5,2019-06-02
6,"Careful word choice, maybe",TACT,4,2019-06-02
6,Fencing along a sidewalk,TREEGUARD,9,2019-06-02
6,"Samin ___, best-selling cookbook author",NOSRAT,6,2019-06-02
6,Terse email reply,THANKS,6,2019-06-02
6,Give a hard time,VEX,3,2019-06-02
6,Kitchen work before cooking,PREP,4,2019-06-02
6,"Cupid, e.g.",GODOFLOVE,9,2019-06-02
6,Line on many a business card,WEBSITE,7,2019-06-02
6,HI goodbye,ALOHA,5,2019-06-02
6,Item taken out of its packaging before it's sold,FLOORMODEL,10,2019-06-02
6,Window option,TINT,4,2019-06-02
6,Notices,SEES,4,2019-06-02
6,In worse health,ILLER,5,2019-06-02
6,Be short,OWE,3,2019-06-02
6,Kiddie ride,TRIKE,5,2019-06-02
6,Swirl,EDDY,4,2019-06-02
6,Density symbols,RHOS,4,2019-06-02
6,Bush,AMATEURISH,10,2019-06-02
6,"""That bothers me""",IMIND,5,2019-06-02
6,Lends a hand with contraband?,ABETS,5,2019-06-02
6,Command to a dog,HEEL,4,2019-06-02
6,"""Encore!""",AGAIN,5,2019-06-02
6,Davis Cup competition,MENSTENNIS,10,2019-06-02
6,"""___ we?""",SHALL,5,2019-06-02
6,Back,BETON,5,2019-06-02
6,Quality feigned by a humblebrag,MODESTY,7,2019-06-02
6,"Overstayed, e.g.",IMPOSED,7,2019-06-02
6,"Film heroine who says ""Somebody has to save our skins. Into the garbage chute, flyboy""",LEIA,4,2019-06-02
6,Orkney resident,SCOT,4,2019-06-02
6,Buckwheat noodles,SOBA,4,2019-06-02
6,Deploy,USE,3,2019-06-02
6,Repentance subjects,SINS,4,2019-06-02
6,Dissident/writer Khashoggi,JAMAL,5,2019-06-02
6,Big nonprofit that operates the Department of Defense Safe Helpline,RAINN,5,2019-06-02
6,One being taught a lesson,TUTEE,5,2019-06-02
6,Maryland's ___ Barton Parkway,CLARA,5,2019-06-02
6,Set apart,ALLOT,5,2019-06-02
6,The cutting of one's jib?,SAILMAKING,10,2019-06-02
6,Travel kit contents,TOILETRIES,10,2019-06-02
6,"Shift from one dialect to another, depending on the social context",CODESWITCH,10,2019-06-02
6,"Strummed instruments, for short",UKES,4,2019-06-02
6,Fratty feats,KEGSTANDS,9,2019-06-02
6,Center of the U.S. auto industry,MOTORCITY,9,2019-06-02
6,Underhanded plan,RUSE,4,2019-06-02
6,Jewish snack,KNISH,5,2019-06-02
6,___ the lily,GILD,4,2019-06-02
6,Indignant denial,IDIDNOT,7,2019-06-02
6,Big name in insurance,AFLAC,5,2019-06-02
6,Tough H.S. science class,APCHEM,6,2019-06-02
6,Scornful syllable,FEH,3,2019-06-02
6,Subjected to a hostile takeover,RAIDED,6,2019-06-02
6,Tips for journalists,LEADS,5,2019-06-02
6,First post-B.C. year,ONEAD,5,2019-06-02
6,Befuddled,ATSEA,5,2019-06-02
6,Rival of Ole Miss,BAMA,4,2019-06-02
6,Bard of ___,AVON,4,2019-06-02
6,Not worth hashing out,MOOT,4,2019-06-02
6,Museo contents,ARTE,4,2019-06-02
6,Kind of seeds in health foods,CHIA,4,2019-06-02
6,Siamang or orangutan,APE,3,2019-06-02
6,"Cause of a blowup, in brief",TNT,3,2019-06-02
0,33 1/3 r.p.m. records,LPS,3,2019-06-03
0,"Cher or Adele, musically",ALTO,4,2019-06-03
0,Allude (to),REFER,5,2019-06-03
0,Annoy,IRK,3,2019-06-03
0,Building for bovines,BARN,4,2019-06-03
0,Mogadishu native,SOMALI,6,2019-06-03
0,*Chief source of support,MAINSTAY,8,2019-06-03
0,Self-centeredness,EGOISM,6,2019-06-03
0,___ fixe (preoccupation),IDEE,4,2019-06-03
0,General Mills puffed corn cereal,KIX,3,2019-06-03
0,Distances in Britain,METRES,6,2019-06-03
0,*Chapel Hill athlete,TARHEEL,7,2019-06-03
0,Pyromaniacs' pleasures,FIRES,5,2019-06-03
0,Monogram for Long John Silver's creator,RLS,3,2019-06-03
0,Cut (off),LOP,3,2019-06-03
0,Outbuilding for storage,SHED,4,2019-06-03
0,Quarrel,ARGUE,5,2019-06-03
0,Yankee great Yogi,BERRA,5,2019-06-03
0,"Park or Madison, on an N.Y.C. map",AVE,3,2019-06-03
0,Bouncy youngster in Pooh's crowd,ROO,3,2019-06-03
0,Praise after a proper response to the end of the answer to each starred clue,GOODDOG,7,2019-06-03
0,"Kesey who wrote ""One Flew Over the Cuckoo's Nest""",KEN,3,2019-06-03
0,Vow sworn at the altar,IDO,3,2019-06-03
0,Round Mongolian tents,YURTS,5,2019-06-03
0,Wary,LEERY,5,2019-06-03
0,Spot for a teacher's apple or Apple,DESK,4,2019-06-03
0,"Virtuous conduct, in Confucianism",TAO,3,2019-06-03
0,Dot follower in a website address,COM,3,2019-06-03
0,"Pass, as a law",ENACT,5,2019-06-03
0,"*""Why?""",HOWCOME,7,2019-06-03
0,Saudi city where Muhammad is buried,MEDINA,6,2019-06-03
0,"One running for office, informally",POL,3,2019-06-03
0,Noteworthy periods,ERAS,4,2019-06-03
0,First king of the Franks (A.D. 481),CLOVIS,6,2019-06-03
0,*Tend an absent resident's property,HOUSESIT,8,2019-06-03
0,M.L.B. division that includes the Astros,ALWEST,6,2019-06-03
0,"Prefix with tasse meaning ""half""",DEMI,4,2019-06-03
0,"Word before ""blastoff""",ONE,3,2019-06-03
0,Uptight,TENSE,5,2019-06-03
0,"Harmonious, after ""in""",SYNC,4,2019-06-03
0,Originally named,NEE,3,2019-06-03
0,Outer boundary,LIMIT,5,2019-06-03
0,"Devil's fashion choice, in a Meryl Streep film",PRADA,5,2019-06-03
0,Person on a slippery slope,SKIER,5,2019-06-03
0,"Midsection muscles, briefly",ABS,3,2019-06-03
0,Potato treats for Hanukkah,LATKES,6,2019-06-03
0,Backpacker's path,TRAIL,5,2019-06-03
0,"Black, banded gemstone",ONYX,4,2019-06-03
0,"Radioer's ""Got it""",ROGER,5,2019-06-03
0,Is melodramatic,EMOTES,6,2019-06-03
0,*Equitable treatment,FAIRSHAKE,9,2019-06-03
0,Otherwise,ELSE,4,2019-06-03
0,"Edges, as of craters",RIMS,4,2019-06-03
0,Athlete getting part-time pay,SEMIPRO,7,2019-06-03
0,India's first P.M.,NEHRU,5,2019-06-03
0,Plaintive poem,ELEGY,5,2019-06-03
0,Fiestas and Fusions,FORDS,5,2019-06-03
0,Resulted in,LEDTO,5,2019-06-03
0,___ and anon,EVER,4,2019-06-03
0,Reject as false,DENY,4,2019-06-03
0,Extremely dry,ARID,4,2019-06-03
0,Went as a passenger,RODE,4,2019-06-03
0,*Soft bedding material,GOOSEDOWN,9,2019-06-03
0,Title character in a Sacha Baron Cohen mockumentary,BORAT,5,2019-06-03
0,Radiant,AGLOW,5,2019-06-03
0,One rejected by a group,OUTCAST,7,2019-06-03
0,Roast host,EMCEE,5,2019-06-03
0,Butchers' tools,KNIVES,6,2019-06-03
0,Op-ed offering,COLUMN,6,2019-06-03
0,Plant seed with a licoricelike flavor,ANISE,5,2019-06-03
0,Poppycock,HOOEY,5,2019-06-03
0,"""Citizen Kane"" star Welles",ORSON,5,2019-06-03
0,State that's the largest U.S. producer of lobsters,MAINE,5,2019-06-03
0,Beauty mogul Lauder,ESTEE,5,2019-06-03
0,Exam for a wannabe doc,MCAT,4,2019-06-03
0,Her: Fr.,ELLE,4,2019-06-03
0,Degrees after M.A.s,PHDS,4,2019-06-03
0,Error indicator in a quotation,SIC,3,2019-06-03
1,"""We should totally do that!""",LETS,4,2019-06-04
1,Key of Beethoven's Symphony No. 7: Abbr.,AMAJ,4,2019-06-04
1,Ain't I a stinker?,SKUNK,5,2019-06-04
1,"Energy field, in holistic medicine",AURA,4,2019-06-04
1,Made-up story,TALE,4,2019-06-04
1,Rub the wrong way,ANNOY,5,2019-06-04
1,Metal that rusts,IRON,4,2019-06-04
1,Coup d'___,ETAT,4,2019-06-04
1,What a tabloid may be sued for,LIBEL,5,2019-06-04
1,Need for targeted advertising,CONSUMERPROFILE,15,2019-06-04
1,Medium for modern matchmaking,APP,3,2019-06-04
1,"Ghost in a haunted house, e.g.",MOANER,6,2019-06-04
1,'60s conflict site,NAM,3,2019-06-04
1,"""That sounds painful""",OOF,3,2019-06-04
1,Ozs. and lbs.,WTS,3,2019-06-04
1,"Danson of ""The Good Place""",TED,3,2019-06-04
1,Birdlike,AVIAN,5,2019-06-04
1,A very long time,AGES,4,2019-06-04
1,Neighbor of Pennsylvania,OHIO,4,2019-06-04
1,Netflix or YouTube,CONTENTPROVIDER,15,2019-06-04
1,"Online option that turns into ""show"" when clicked",HIDE,4,2019-06-04
1,Absence of complication,EASE,4,2019-06-04
1,Profess,CLAIM,5,2019-06-04
1,Sun or moon,ORB,3,2019-06-04
1,UPS competitor,DHL,3,2019-06-04
1,The longer of the two Morse symbols,DAH,3,2019-06-04
1,"""Hey"" alternatives",YOS,3,2019-06-04
1,Restaurateur Lagasse,EMERIL,6,2019-06-04
1,Part of a headset,MIC,3,2019-06-04
1,It settles a case,CONCLUSIVEPROOF,15,2019-06-04
1,Classic hit,OLDIE,5,2019-06-04
1,"Catcher of counterfeiters, in old lingo",TMAN,4,2019-06-04
1,"Retort to ""Are not!""",AMSO,4,2019-06-04
1,Investigator,AGENT,5,2019-06-04
1,[Same source as before],IBID,4,2019-06-04
1,Like drone bees,MALE,4,2019-06-04
1,Pizza size,LARGE,5,2019-06-04
1,Disadvantages found in this puzzle's three longest Across answers ...,CONS,4,2019-06-04
1,... and advantages found in them,PROS,4,2019-06-04
1,Concerning the nonordained,LAIC,4,2019-06-04
1,$,dollar :: €,11,2019-06-04
1,Disney sci-fi classic,TRON,4,2019-06-04
1,"Eldest Stark daughter on ""Game of Thrones""",SANSA,5,2019-06-04
1,"""Resume normal speed,"" in a score",ATEMPO,6,2019-06-04
1,Each animal in Noah's Ark had one,MATE,4,2019-06-04
1,First thing in the morning?,ALARM,5,2019-06-04
1,Like 747s,JETPOWERED,10,2019-06-04
1,Beauty parlors,SALONS,6,2019-06-04
1,Butter spreader,KNIFE,5,2019-06-04
1,"""Occasion"" celebrated 364 times a year in Carroll's ""Through the Looking Glass""",UNBIRTHDAY,10,2019-06-04
1,"""The First ___"" (carol)",NOEL,4,2019-06-04
1,"""South Park"" boy",KYLE,4,2019-06-04
1,Leading by a single point,UPONE,5,2019-06-04
1,"___ Rizzo, hustler in ""Midnight Cowboy""",RATSO,5,2019-06-04
1,Cheesy snack,NACHO,5,2019-06-04
1,"French ""to have""",AVOIR,5,2019-06-04
1,Tough puzzle,MINDBENDER,10,2019-06-04
1,Accepting destiny,FATALISTIC,10,2019-06-04
1,"Mi-mi-re-re-do, in a children's song",EIEIO,5,2019-06-04
1,College accommodations,DORMS,5,2019-06-04
1,"Got full, say",ATE,3,2019-06-04
1,"How a smartphone knows where it is, for short",GPS,3,2019-06-04
1,De-squeak,OIL,3,2019-06-04
1,"So-called ""architect of India""",NEHRU,5,2019-06-04
1,TV programming filter,VCHIP,5,2019-06-04
1,Option with a trash can icon,DELETE,6,2019-06-04
1,Making ___,AMENDS,6,2019-06-04
1,"Host's task, informally",MCING,5,2019-06-04
1,Something to bend over backward for,LIMBO,5,2019-06-04
1,Athlete's leg problem,CRAMP,5,2019-06-04
1,West Virginia resource,COAL,4,2019-06-04
1,Gymnast Korbut,OLGA,4,2019-06-04
1,Bigheaded,VAIN,4,2019-06-04
1,Actor Sharif,OMAR,4,2019-06-04
1,Scandinavian capital founded in the mid-11th century,OSLO,4,2019-06-04
1,Enemies,FOES,4,2019-06-04
2,Variety show lineup,ACTS,4,2019-06-05
2,Home shopping channel,QVC,3,2019-06-05
2,"Longtime product with a ""Classic White"" variety",BREAD,5,2019-06-05
2,Weight of an empty container,TARE,4,2019-06-05
2,"Mideast federation, for short",UAE,3,2019-06-05
2,Ancient source of prophecy,ORACLE,6,2019-06-05
2,Exceed the capacity of,OVERFILL,8,2019-06-05
2,Doze,NODOFF,6,2019-06-05
2,2005 dystopian novel adapted into a 2010 film,NEVERLETMEGO,12,2019-06-05
2,Pastries with a portmanteau name,CRONUTS,7,2019-06-05
2,Intoned,CHANTED,7,2019-06-05
2,Tick off,ENRAGE,6,2019-06-05
2,"Not backing, in the backwoods",AGIN,4,2019-06-05
2,Loan letters,APR,3,2019-06-05
2,Arp and Duchamp output,DADAART,7,2019-06-05
2,In ___ of,LIEU,4,2019-06-05
2,Place for a pin,LAPEL,5,2019-06-05
2,Popular lingerie item owned by HanesBrands,BRA,3,2019-06-05
2,Co-owner of the Pequod,PELEG,5,2019-06-05
2,Word with rain or rock,ACID,4,2019-06-05
2,Mellow R&B tune,SLOWJAM,7,2019-06-05
2,Range org.,NRA,3,2019-06-05
2,"""I'd consider ___ honor""",ITAN,4,2019-06-05
2,"Legal rights, in France",DROITS,6,2019-06-05
2,"Graffitist, e.g.",DEFACER,7,2019-06-05
2,Expanse far from ports,OPENSEA,7,2019-06-05
2,Monuments of classical antiquity ... or what literally is missing from this puzzle,SEVENWONDERS,12,2019-06-05
2,"The People's Princess, familiarly",LADYDI,6,2019-06-05
2,English churchyard flora,YEWTREES,8,2019-06-05
2,Title girl in a 2001 Oscar-nominated French comedy,AMELIE,6,2019-06-05
2,Beehive State native,UTE,3,2019-06-05
2,River of northern France,OISE,4,2019-06-05
2,Big superhero film of 2017,WOMAN,5,2019-06-05
2,It's divided by the 38th parallel: Abbr.,KOR,3,2019-06-05
2,Some fund-raising grps.,PTAS,4,2019-06-05
2,Without delay,ATONCE,6,2019-06-05
2,Setting for a Pirates of the Caribbean ride,CAVERN,6,2019-06-05
2,"___ Noah, host of ""The Daily Show""",TREVOR,6,2019-06-05
2,Wooed à la Don Giovanni,SERENADED,9,2019-06-05
2,Participated in a bee,QUILTED,7,2019-06-05
2,Low-lying areas,VALES,5,2019-06-05
2,European of the Iron Age,CELT,4,2019-06-05
2,Heavy ankle-high shoe,BROGAN,6,2019-06-05
2,Danger in a uranium mine,RADON,5,2019-06-05
2,Prefix with conscious or catastrophe,ECO,3,2019-06-05
2,Landon who lost to F.D.R. in 1936,ALF,3,2019-06-05
2,"Surely, informally",DEF,3,2019-06-05
2,Bad artist to re-sign to a record deal,ONEHIT,6,2019-06-05
2,Thrifty,FRUGAL,6,2019-06-05
2,Quick Draw ___ (Hanna-Barbera character),MCGRAW,6,2019-06-05
2,Follow,TAIL,4,2019-06-05
2,Blade with a bell guard,EPEE,4,2019-06-05
2,Miraculously effective medicine,DRUG,4,2019-06-05
2,Brother of Moses and Miriam,AARON,5,2019-06-05
2,"Loud, as trumpets",ABLARE,6,2019-06-05
2,Sour candy,LEMONDROP,9,2019-06-05
2,Domain of the Queen of Hearts,LAND,4,2019-06-05
2,Subdivision of a subdivision,ACRE,4,2019-06-05
2,"""La Vie en Rose"" singer",PIAF,4,2019-06-05
2,Raise,PARENT,6,2019-06-05
2,"He said ""Just because a man lacks the use of his eyes doesn't mean he lacks vision""",STEVIE,6,2019-06-05
2,Big name in customer satisfaction surveys,JDPOWER,7,2019-06-05
2,"Stranded during the winter, say",ICEDIN,6,2019-06-05
2,"Response to ""Look!""",ISEEIT,6,2019-06-05
2,Mother of Calcutta,TERESA,6,2019-06-05
2,Gives some lip,SASSES,6,2019-06-05
2,Havens,ASYLA,5,2019-06-05
2,Have a loan from,OWETO,5,2019-06-05
2,Three Stooges laugh sound,NYUK,4,2019-06-05
2,Counselor's subject,LAW,3,2019-06-05
2,"""I love,"" to a Latin lover",AMO,3,2019-06-05
2,Like F.D.R.: Abbr.,DEM,3,2019-06-05
3,Unrefined,CRASS,5,2019-06-06
3,Coffee bar offering,MOCHA,5,2019-06-06
3,Painter van Eyck,JAN,3,2019-06-06
3,Navajo dwelling made of logs and mud,HOGAN,5,2019-06-06
3,___ Bell (Emily Brontë pen name),ELLIS,5,2019-06-06
3,Word with single or fair,USE,3,2019-06-06
3,Direct-to-customer beef retailer,OMAHASTEAKS,11,2019-06-06
3,1952 and 1994 Olympics locale: Abbr.,NOR,3,2019-06-06
3,"Cover over, as a wall",REPAPER,7,2019-06-06
3,"Remove, as a name tag",PEELOFF,7,2019-06-06
3,Busy beaver,DOER,4,2019-06-06
3,Rejections,NOS,3,2019-06-06
3,Go one better than,TOP,3,2019-06-06
3,Place to buy paint,ARTSHOP,7,2019-06-06
3,Spirited horse,ARAB,4,2019-06-06
3,Upscale hotel amenity,SAUNA,5,2019-06-06
3,Now and for always,EVERMORE,8,2019-06-06
3,Demolition aid,TNT,3,2019-06-06
3,Calaverite or sylvanite,GOLDORE,7,2019-06-06
3,Memory unit,BIT,3,2019-06-06
3,"Coated, in a way",ENAMELED,8,2019-06-06
3,City NE of Manchester,LEEDS,5,2019-06-06
3,"Hawaiian entree, for short",MAHI,4,2019-06-06
3,Ones playing the numbers?,DEEJAYS,7,2019-06-06
3,Big brand with an oval logo,STP,3,2019-06-06
3,Ticket datum,ROW,3,2019-06-06
3,Something you might write an article on,SPEC,4,2019-06-06
3,More daft,DOTTIER,7,2019-06-06
3,Field a kickoff,RECEIVE,7,2019-06-06
3,Subject of the 1962 Nobel Prize in Medicine,DNA,3,2019-06-06
3,Performer with a weapon,SWORDDANCER,11,2019-06-06
3,"Samuel Beckett's ""Endgame"" has one",ACT,3,2019-06-06
3,Mailing category for reduced postage,MEDIA,5,2019-06-06
3,Very little,SCANT,5,2019-06-06
3,"""___-haw!""",YEE,3,2019-06-06
3,"Name on a ""Citizen Kane"" poster",ORSON,5,2019-06-06
3,Things to run or pass,TESTS,5,2019-06-06
3,"Set of keys, maybe",CHORD,5,2019-06-06
3,Beau,ROMEO,5,2019-06-06
3,Slack-jawed,AGAPE,5,2019-06-06
3,Hot and dry,SAHARAN,7,2019-06-06
3,Lose one's cool,SNAP,4,2019-06-06
3,Underground networks,METROS,6,2019-06-06
3,"Cry repeated at the start of the 1987 dance hit ""Hot Hot Hot""",OLE,3,2019-06-06
3,"Keep time with the beat, maybe",CLAP,4,2019-06-06
3,Jack up,HIKE,4,2019-06-06
3,"Land, building or machine",ASSET,5,2019-06-06
3,NASA spacecraft orbiting Jupiter,JUNOPROBE,9,2019-06-06
3,Beginning,ASOF,4,2019-06-06
3,___ ball,NERF,4,2019-06-06
3,Text message status,SENT,4,2019-06-06
3,Good soil,LOAM,4,2019-06-06
3,"Labrador retriever or Alaskan malamute, notably",SHEDDER,7,2019-06-06
3,Lose one's cool,RAGE,4,2019-06-06
3,In ___ (embryonic),OVO,3,2019-06-06
3,Individually,PER,3,2019-06-06
3,Like much of Chile,ARID,4,2019-06-06
3,"Agrees to ""make things interesting""",BETS,4,2019-06-06
3,Goblet feature,STEM,4,2019-06-06
3,Visitor to King Mongkut,ANNA,4,2019-06-06
3,The Aggies of the N.C.A.A.,UTAHSTATE,9,2019-06-06
3,Bank,RELY,4,2019-06-06
3,Discontinued,OLD,3,2019-06-06
3,Abstract Expressionist Krasner,LEE,3,2019-06-06
3,Helpful thing to have on hand?,MITT,4,2019-06-06
3,Perfumer's extract,ESSENCE,7,2019-06-06
3,River to the Dead Sea,JORDAN,6,2019-06-06
3,"Going ""Wow, wow, wow!""",AWED,4,2019-06-06
3,___ clam (mollusk found off the coast of California),PISMO,5,2019-06-06
3,Typesetters' measures,PICAS,5,2019-06-06
3,"Javelin, e.g.",EVENT,5,2019-06-06
3,Mints with Retsyn,CERTS,5,2019-06-06
3,Its beaches begin five answers in this puzzle,DDAY,4,2019-06-06
3,"""There was a time ...""",ONCE,4,2019-06-06
3,Still life subject,EWER,4,2019-06-06
3,Some retina cells,RODS,4,2019-06-06
3,Closing credits heading,CAST,4,2019-06-06
3,Feature on a Spanish map,RIO,3,2019-06-06
4,Ibsen heroine,NORA,4,2019-06-07
4,Nickname in early jazz piano,FATHA,5,2019-06-07
4,Mining target,DATA,4,2019-06-07
4,"""Is there anything else I can help with?""",AREYOUGOOD,10,2019-06-07
4,"Rocker, perhaps",IDOL,4,2019-06-07
4,"""I'd really appreciate this favor""",DOMEASOLID,10,2019-06-07
4,Of no value,NULL,4,2019-06-07
4,"""___ mess""",IMA,3,2019-06-07
4,They fall apart when the stakes are raised,TENTS,5,2019-06-07
